Authors,Title,Publication,Year,Publisher
S. Dash et al.,Optimizing Distributed Training on Frontier for Large Language Models,,2024,IEEE Xplore
D. Huang and Z. Wang,Optimizing Chinese-to-English Translation Using Large Language Models,,2025,IEEE Xplore
"R. Qin, Y. Hu, Z. Yan, J. Xiong, A. Abbasi and Y. Shi",FL-NAS: Towards Fairness of NAS for Resource Constrained Devices via Large Language Models,,2024,IEEE Xplore
"C. Delgado-Solorzano, M. DelaFlor and C. Toxtli",Assessing the Syllogistic Logic and Fact-Checking Capabilities of Large Language Models,,2024,IEEE Xplore
"Y. Guo, Y. Lang and Q. Ren",GPTQT: Quantize Large Language Models Twice to Push the Efficiency,,2024,IEEE Xplore
"M. Isaev, N. McDonald, L. Dennison and R. Vuduc",Calculon: a Methodology and Tool for High-Level Codesign of Systems and Large Language Models,,2023,IEEE Xplore
"G. Crumrine, I. Alsmadi, J. Guerrero, Y. Munian and M. Al-Abdullah",Transforming Computer Security and Public Trust Through the Exploration of Fine-Tuning Large Language Models,,2024,IEEE Xplore
"G. Rocchietti, C. Rulli, F. Maria Nardini, C. Ioana Muntean, R. Perego and O. Frieder",ChatGPT Versus Modest Large Language Models: An Extensive Study on Benefits and Drawbacks for Conversational Search,,2025,IEEE Xplore
"H. Qi, L. Dai, W. Chen, Z. Jia and X. Lu",Performance Characterization of Large Language Models on High-Speed Interconnects,,2023,IEEE Xplore
"M. Seo, S. Jeong, H. -J. Lee and X. T. Nguyen",Real Post-Training Quantization Framework for Resource-Optimized Multiplier in LLMs,,2024,IEEE Xplore
