Authors,Title,Publication,Year,Publisher
"Zhao, Yao (57945946200); Xie, Zhitian (56567116300); Liang, Chen (57211496552); Zhuang, Chenyi (56727765100); Gu, Jinjie (57211945314)",Lookahead: An Inference Acceleration Framework for Large Language Model with Lossless Generation Accuracy,,2024,Scopus
"Hershenhouse, Jacob S. (58573066000); Mokhtar, Daniel (57202573704); Eppler, Michael B. (57886332700); Rodler, Severin (56678529500); Storino Ramacciotti, Lorenzo (58035721600); Ganjavi, Conner (57225141561); Hom, Brian (58984433200); Davis, Ryan J. (58568431400); Tran, John (58693300900); Russo, Giorgio Ivan (57193081662); Cocci, Andrea (57189365310); Abreu, Andre (49862972700); Gill, Inderbir (35415354700); Desai, Mihir (7201841144); Cacciamani, Giovanni E. (56091669400)","Accuracy, readability, and understandability of large language models for prostate cancer information to the public",,2024,Scopus
"Yang, Huibo (59006024500); Hu, Mengxuan (58290671100); Most, Amoreena (59005483500); Hawkins, W. Anthony (57194406068); Murray, Brian (57191320268); Smith, Susan E. (57212961528); Li, Sheng (59363555100); Sikora, Andrea (57201461113)",Evaluating accuracy and reproducibility of large language model performance on critical care assessments in pharmacy education,,2024,Scopus
"De Busser, Branco (59468728200); Roth, Lynn (56437903500); De Loof, Hans (6602464122)",The role of large language models in self-care: a study and benchmark on medicines and supplement guidance accuracy,,2024,Scopus
"Sai, Arvapelly Aryan (59718747100); Vignesh, Sai (59718608900); Sai Hemanth, S.V. (59718469500); Baruah, Pallav Kumar (8430669900)",Comparing Accuracy and Consistency: LLMs vs. SOTA Deep Learning Models in Text-to-SQL,,2024,Scopus
"Ocakoglu, Sakine Rahimli (57497342500); Coskun, Burhan (36113105900)",The Emerging Role of AI in Patient Education: A Comparative Analysis of the Accuracy of Large Language Models for Pelvic Organ Prolapse,,2024,Scopus
"Otieno, Denish Omondi (58551683000); Abri, Faranak (57215604435); Siami-Namini, Sima (57201302278); Namin, Akbar Siami (13805425800)",The Accuracy of Domain Specific and Descriptive Analysis Generated by Large Language Models,,2024,Scopus
"Junhao Zheng, Shengjie Qiu, Chengming Shi, and Qianli Ma",Towards Lifelong Learning of Large Language Models: A Survey,,2025,ACM
"Xue Jiang, Yihong Dong, Lecheng Wang, Zheng Fang, Qiwei Shang, Ge Li, Zhi Jin, and Wenpin Jiao",Self-Planning Code Generation with Large Language Models,,2024,ACM
"Xiaodong Gu, Meng Chen, Yalan Lin, Yuhan Hu, Hongyu Zhang, Chengcheng Wan, Zhao Wei, Yong Xu, and Juhong Wang",On the Effectiveness of Large Language Models in Domain-Specific Code Generation,,2025,ACM
"Xiaoning Feng, Xiaohong Han, Simin Chen, and Wei Yang",LLMEffiChecker: Understanding and Testing Efficiency Degradation of Large Language Models,,2024,ACM
Eman Abdullah AlOmar,Nurturing Code Quality: Leveraging Static Analysis and Large Language Models for Software Quality in Education,,2025,ACM
